participant_id,n_clicks,nll,aic,bic,accuracy,converged,fit_time_s
mmgkzukxhc834b,1054,646.5882945177696,1307.176589035539,1341.8990231392484,0.6631878557874763,True,221.632896900177
mmglwqjldp7qzs,583,342.06431266832345,698.1286253366469,728.7059356411004,0.6740994854202401,False,239.71523904800415
mmgnnwigzcjcjb,812,510.8887162326183,1035.7774324652366,1068.6739348463684,0.6354679802955665,False,280.3600687980652
mmgp4bc8msbt9i,1107,676.9300071240177,1367.8600142480354,1402.925876776996,0.6522131887985546,False,365.80436301231384
mmgp4tj5u4fkle,971,619.4915919132408,1252.9831838264815,1287.1314691045209,0.6302780638516993,True,228.24089765548706
mmgp5kmow73uh4,292,167.41902325957943,348.83804651915887,374.57532313503685,0.6917808219178082,False,248.970605134964
mmgp92mecyqm9v,1176,698.3456986803842,1410.6913973607684,1446.1805162599785,0.6683673469387755,True,292.395094871521
mmgp978sldfue2,976,640.7644797177295,1295.528959435459,1329.7131975403506,0.6168032786885246,False,302.66089701652527
mmgp9zmmkmd16z,1034,648.1505481770545,1310.301096354109,1344.8894267395876,0.6421663442940039,False,283.2490658760071
mmgpaypnlftqhj,873,538.2514428384145,1090.502885676829,1123.9064345677061,0.6460481099656358,False,272.42412304878235
mmgpciu4ujf1yx,1015,555.0802098932035,1124.160419786407,1158.6189270267382,0.734975369458128,True,243.04319024085999
mmgpgi4g2dbojg,1017,638.4051328268722,1290.8102656537444,1325.2825524260843,0.6755162241887905,True,167.75704789161682
mmgpiq4cdgzv0g,850,556.3386599780397,1126.6773199560794,1159.89397440247,0.6082352941176471,True,169.02456498146057
mmgpqa167a1xfr,986,601.1270530143853,1216.2541060287706,1250.509700510989,0.6531440162271805,False,273.7688698768616
mmgpy8l4j84vky,1098,719.9628921745734,1453.9257843491469,1488.9345037036333,0.6438979963570127,False,290.45370221138
mmgq3qou4vm7p2,1153,737.557681702392,1489.115363404784,1524.4662210466674,0.603642671292281,False,281.46001505851746
mmgqyc7o5z5lol,1025,656.4829955561969,1326.9659911123938,1361.4931263534013,0.6117073170731707,False,276.2438232898712
mmgr4s18tb01tn,1016,594.8084272964377,1203.6168545928754,1238.0822549898444,0.6958661417322834,False,282.60487389564514
mmgr4wtlbsgksz,956,612.1261109415377,1238.2522218830754,1272.2915272744353,0.6119246861924686,False,274.61662197113037
mmgr8c41e95y48,683,439.7931232128099,893.5862464256198,925.2717104426154,0.6207906295754027,False,240.90213108062744
mmh0l2c7qmhy45,1027,656.9515063852102,1327.9030127704204,1362.4437932399203,0.634858812074002,False,276.83949732780457
mmh0l48dxf0unl,876,575.4984133737775,1164.996826747555,1198.4243893841096,0.569634703196347,False,264.13048005104065
mmh0le5hzjr146,994,591.2514086613118,1196.5028173226235,1230.8149777692195,0.6579476861167002,False,304.7344858646393
mmh0lgopisagl1,905,556.4927968308955,1126.985593661791,1160.6411382676904,0.6828729281767956,True,270.62191820144653
mmh0lku3somrj2,1001,664.0843843751818,1342.1687687503636,1376.5300522055702,0.5864135864135864,True,305.40988421440125
mmh0lpcdg8sc9d,350,221.56386953305466,457.1277390661093,484.13327114749353,0.5314285714285715,False,212.41682195663452
mmh0m3laciusns,1045,622.444936081095,1258.88987216219,1293.5522773129824,0.6870813397129186,True,238.68281602859497
mmh0mm0slxu2c6,1003,652.6150503447009,1319.2301006894018,1353.6053562051352,0.617148554336989,True,318.706839799881
mmh0mmpthv6747,494,331.5646666228861,677.1293332457722,706.5470818660876,0.5506072874493927,True,221.08456087112427
mmh0nnjgngklw9,1231,746.6128109563557,1507.2256219127114,1543.0346967960027,0.6742485783915516,False,293.53125977516174
mmh0ocgvq48nmw,990,610.5910880818108,1235.1821761636215,1269.466110765522,0.6575757575757576,False,272.9349901676178
mmh0opq7ik4vq9,918,518.0515489498,1050.1030978996,1083.8584796339435,0.690631808278867,True,194.88955688476562
mmh0ozswyuhptg,1013,647.8050657023557,1309.6101314047114,1344.0548319344523,0.6209279368213229,True,229.19884300231934
mmh0pa4lqweccy,895,545.0940623598527,1104.1881247197055,1137.7658907476293,0.6513966480446928,True,207.8316102027893
mmh0pj6zzym52u,1241,721.5831382740745,1457.166276548149,1493.0319860445811,0.6905721192586624,True,304.77110409736633
mmh0pjhq4si99l,732,462.17588703814556,938.3517740762911,970.5222376740203,0.639344262295082,True,221.3468337059021
mmh0puch8ryw6q,892,569.0259097425386,1152.0518194850772,1185.6060824131373,0.6378923766816144,True,198.74291896820068
mmh0r154q42czx,1177,695.218829601664,1404.437659203328,1439.9327279541499,0.6966864910790145,True,246.5355200767517
mmh0r34ra4dkeq,918,580.6638277478696,1175.3276554957392,1209.0830372300827,0.6416122004357299,True,240.5199580192566
mmh0rqn7w97bj1,653,418.95807805840275,851.9161561168055,883.2871960217406,0.6462480857580398,False,258.43243288993835
mmh0tro0xy62is,950,584.328329614328,1182.656659228656,1216.6518931208182,0.6789473684210526,True,149.30693411827087
mmh0uacr2t1xyl,718,445.9157884576565,905.831576915313,937.8668638986505,0.6601671309192201,True,178.7877676486969
mmh0ueba03trt8,780,519.4370868496735,1052.874173699347,1085.4892311371325,0.5807692307692308,False,249.78214287757874
mmh0vbvuxjtcjt,1191,594.3794511978424,1202.7589023956848,1238.336742381172,0.7455919395465995,True,225.46260404586792
mmh0vh7hlj07vq,796,485.05666769133796,984.1133353826759,1016.8705296835866,0.6444723618090452,False,251.58832478523254
mmh0wavy3sc671,1110,718.5482837387061,1451.0965674774122,1486.1813745375568,0.5990990990990991,False,295.5883331298828
mmh0x9u4xp8fu3,1187,796.5538986155217,1607.1077972310434,1642.6620879933112,0.5678180286436394,True,267.3919038772583
mmh0yeggamsoac,761,452.5346591363294,919.0693182726588,951.5117517776906,0.6767411300919842,False,240.69936513900757
mmh115prdezsm3,860,569.7997796113174,1153.5995592226348,1186.8980859473677,0.6011627906976744,False,253.46472787857056
mmh16ou0zfjy3u,997,603.9466020362327,1221.8932040724653,1256.2264594621981,0.6770310932798396,True,246.76091122627258
mmh19xdldph9gc,949,497.81551763716874,1009.6310352743375,1043.618896864607,0.7629083245521602,False,262.7887499332428
mmh1cyh065lsoj,1024,679.9132630811968,1373.8265261623935,1408.3468288015897,0.5712890625,True,242.77986526489258
mmh1eq08p9ct0c,1084,665.5043173832788,1345.0086347665576,1379.9275270405549,0.6512915129151291,False,284.3938019275665
mmh1jfrxwrc2n9,517,314.600513057984,643.201026115968,672.937326237527,0.6692456479690522,True,230.74707007408142
mmh1qje9iflk26,914,609.5729664488912,1233.1459328977824,1266.8707468979615,0.5897155361050328,True,235.69560408592224
mmh1sestivd4ky,1133,647.7113820825427,1309.4227641650855,1344.6511339922815,0.6884377758164166,False,285.16741394996643
mmh1tezpvosjbe,959,619.5670321762882,1253.1340643525764,1287.1953018767604,0.6381647549530761,True,177.82445812225342
mmh1wzqpw76n7q,847,492.3373924748515,998.674784949703,1031.8666898122674,0.6835891381345927,False,262.24367117881775
mmh250jgfc38xs,822,525.2257786246304,1064.4515572492608,1097.433740014654,0.6192214111922141,True,173.8933608531952
mmh28cu8c2h59x,823,550.8903072312675,1115.780614462535,1148.7713078672743,0.5868772782503038,False,257.6762340068817
